Percentage of parents age 18-64 not working due to COVID-19-related childcare issues,,,,,,
week beginning,men,women,avg_men,avg_women,,
April 23,2.6,9.4,2.68,11.17,,
May 7,3.2,10.2,2.68,11.17,,
May 14,2.6,10.6,2.68,11.17,,
May 21,2.4,10,2.68,11.17,,
May 28,2.8,11.2,2.68,11.17,,
June 4,2.3,11.7,2.68,11.17,,
June 11,3.1,11.9,2.68,11.17,,
June 18,2.8,12.2,2.68,11.17,,
June 25,2.8,12.7,2.68,11.17,,
July 2,3,11.5,2.68,11.17,,
July 9,2.9,12.2,2.68,11.17,,
July 16,3,11.1,2.68,11.17,,
Aug 19,2.4,10.7,2.68,11.17,,
Sep 2,2.7,11,2.68,11.17,,
Sep 16,1.6,11.2,2.68,11.17,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
