Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,58690,59247,59247,59878,59777,62132,62366,61915,61398,61037,61024,60759
1949,59481,59794,60192,60206,61185,62197,62559,62460,61959,61838,62186,61402
1950,60837,60988,61046,61477,61982,63548,63155,63561,62735,62763,62669,61761
1951,60815,60640,61689,61144,61989,62505,63040,62934,62294,62660,62454,62048
1952,61142,61174,60914,61068,62032,63020,62860,62790,62890,62472,62988,62293
1953,62266,62235,62702,62521,62597,63898,63896,63783,63148,63377,63319,62430
1954,62206,63042,63156,63383,63678,64178,64202,64328,64385,64139,64016,62999
1955,63023,62905,63147,64023,64470,65461,66159,66412,66014,66422,66376,65869
1956,65115,64865,65267,65712,66844,67886,67924,67552,67104,67165,66909,66279
1957,65180,65597,65956,66139,66848,68258,68569,67535,67272,67577,67256,66930
1958,65972,66381,66722,67180,67930,68875,68908,68625,67824,68230,67675,67334
1959,66730,66713,67389,67799,68363,69704,69798,69244,68609,69122,68513,68448
1960,67494,67757,67771,69057,69722,71460,71123,70715,70207,70100,70361,69757
1961,69132,69523,70123,69844,70502,72464,71872,71468,70070,70649,70289,69572
1962,68836,69353,69744,69820,70658,72071,71678,71938,71076,71084,70772,70345
1963,69795,70389,70771,71233,71933,73398,73365,72807,72037,72358,72329,71579
1964,70986,71658,71920,72778,73480,74901,74514,74227,73111,73345,73210,72952
1965,72177,72862,73084,73712,74512,76335,76522,75860,74250,74821,74712,74605
1966,73612,73800,74080,74796,75412,77629,77705,77486,75751,76209,76574,76255
1967,75320,75689,75514,76109,76096,79021,79469,79112,77527,78132,78121,78057
1968,76346,77401,77446,77634,78235,80888,80965,80203,78546,78875,79184,79117
1969,78232,79103,79267,79619,79565,82357,82797,82516,80984,81511,81427,81416
1970,80719,81283,81689,81960,81758,84087,84857,84191,82641,83288,83478,83301
1971,82818,82885,82866,83116,83344,85228,86296,85984,84456,84974,85374,85255
1972,84940,85180,85828,85759,86028,88540,89127,88894,87242,87741,87548,87593
1973,86327,87303,87961,88127,88238,91124,91655,90888,89782,90547,90690,90520
1974,89924,90273,90486,90366,90830,93481,94238,93446,92449,92909,92638,92368
1975,92200,91972,92464,92459,92888,95174,96053,95525,94023,94510,94041,93995
1976,93938,94075,94400,94782,94925,97499,98605,98133,96430,96999,97116,97004
1977,96197,96837,97277,97352,97755,100743,100960,100744,99367,100144,100522,100213
1978,99664,99641,100166,100610,101092,104010,104512,103946,102748,103474,103586,103565
1979,102802,103185,103606,103198,103476,106210,107096,106489,105510,106084,105871,106040
1980,105344,105412,105510,105592,106233,108311,109268,108404,106989,107673,107532,107009
1981,106885,107015,107634,107906,108586,109904,110742,110099,108273,109244,109179,108574
1982,108014,108324,108761,108814,109914,111569,112526,111887,110546,110767,110855,110477
1983,109779,109647,109873,109875,110308,113383,113980,113578,112197,112042,112147,111795
1984,111025,111368,111828,112152,113251,115393,116198,115076,113843,114250,114115,114028
1985,113475,113592,114394,114325,114890,116572,117536,116679,115850,116346,116097,115780
1986,115431,115725,116309,116317,117199,119644,120303,119471,118244,118699,118623,118049
1987,117703,117967,118353,118347,119695,121153,122105,121614,119884,120744,120611,120206
1988,119742,119942,119957,120264,120775,123028,123888,123396,121842,122432,122639,122120
1989,122095,121906,122223,122576,123196,125569,126238,125444,123828,124416,124664,123998
1990,124358,124487,124838,124837,125682,127407,128019,127105,125785,126067,125858,125635
1991,124623,125061,125435,125698,125863,128143,128458,127197,126426,126636,126466,126150
1992,126114,126425,126843,126911,127777,130197,130844,129676,128196,127998,128245,128035
1993,127186,127651,127829,127616,128949,131060,131574,130673,128975,129685,129662,129537
1994,129393,129764,129718,129682,130602,132115,132783,132361,131155,131879,131869,131418
1995,130698,131028,131423,131657,131739,133447,134440,133383,132341,132863,132622,132008
1996,131396,131995,132692,132513,133558,135083,136272,135011,134230,135015,134973,134583
1997,134317,134535,135524,135181,135963,137557,138331,137460,136375,136665,136912,136742
1998,135951,136286,136967,136379,137240,138798,139336,138379,137903,138255,138288,138297
