Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,40238,40330,40269,40432,40413,40768,41105,41118,40947,40900,40926,40800
1949,40514,40577,40838,40877,40918,41106,41291,41314,41302,41211,41246,41074
1950,41062,41086,41211,41326,41420,41559,41648,41745,41614,41210,41126,40790
1951,40516,40388,40782,40616,40663,40736,40712,40826,40672,40768,40698,40484
1952,40348,40346,40292,40376,40532,40786,40862,40732,40634,40532,40548,40708
1953,40996,41001,41221,41186,41323,41485,41557,41593,41362,41323,41482,41240
1954,41276,41549,41475,41707,41678,41786,41812,41978,41926,41726,41696,41421
1955,41555,41482,41701,41880,42016,42184,42436,42479,42382,42432,42459,42274
1956,42284,42228,42442,42569,42719,42982,42946,42968,42750,42725,42759,42522
1957,42252,42348,42533,42644,42844,43228,43202,43011,42937,42869,42796,42701
1958,42616,42719,42882,42982,43207,43409,43465,43427,43156,43246,43068,42929
1959,42794,42791,43029,43166,43235,43520,43701,43596,43465,43483,43337,43347
1960,43201,43195,43169,43466,43589,43849,43809,43857,43765,43749,43840,43735
1961,43702,43700,43859,43814,43866,44195,44109,44096,43826,43858,43772,43525
1962,43265,43465,43588,43603,43850,44135,43985,44231,44053,44040,43968,43786
1963,43746,43911,44025,44032,44099,44582,44663,44528,44369,44274,44330,44107
1964,44071,44179,44227,44512,44670,44946,45027,44954,44759,44745,44660,44496
1965,44469,44677,44709,44835,45077,45384,45321,45214,44782,44716,44606,44492
1966,44270,44393,44523,44681,44776,45232,45161,45205,44851,44829,44811,44717
1967,44654,44781,44778,45011,45084,45778,45880,45955,45600,45607,45579,45527
1968,45245,45514,45483,45615,45729,46410,46395,46373,45941,45810,45832,45881
1969,45619,45911,45959,46048,46134,46709,46791,46981,46620,46555,46450,46430
1970,46422,46676,46856,47027,47077,47624,47731,47694,47376,47371,47407,47383
1971,47387,47380,47475,47684,47816,48364,48549,48621,48242,48190,48209,48195
1972,48250,48346,48709,48705,48773,49561,49703,49680,49385,49386,49202,49248
1973,48963,49174,49546,49545,49586,50334,50554,50429,50165,50338,50245,50320
1974,50381,50405,50398,50403,50623,51216,51253,51393,51148,51278,51078,50978
1975,51002,50997,51164,51188,51330,51792,52088,52055,51707,51677,51497,51435
1976,51527,51550,51651,51853,51944,52613,52849,52862,52611,52673,52659,52675
1977,52537,52760,52750,52747,52922,53770,53808,53897,53455,53844,53829,53863
1978,53682,53653,53814,53961,54207,54940,54987,54948,54636,54846,54986,54999
1979,54895,55021,55067,55036,55208,55992,56257,56190,55972,56060,55848,55853
1980,55797,55929,55948,56040,56371,56805,57081,57019,56590,56725,56646,56512
1981,56533,56548,56911,56953,57338,57522,57747,57706,57219,57341,57244,57305
1982,57226,57328,57585,57586,57968,58394,58559,58394,58149,58193,58193,58186
1983,58009,58083,58220,58262,58458,59267,59492,59351,58954,58919,58996,58915
1984,58924,58964,59104,59203,59513,60224,60341,60270,60003,59992,59955,59920
1985,59574,59557,59825,59914,60151,60656,60718,60759,60565,60661,60564,60379
1986,60734,60686,60908,60801,61102,61779,61882,61689,61466,61471,61654,61665
1987,61588,61548,61693,61660,62147,62503,62645,62516,62157,62317,62288,62075
1988,62031,62205,62238,62442,62696,63134,63320,63396,62942,63023,62996,62792
1989,62926,63031,63210,63370,63500,64325,64325,64167,63771,63973,63919,63814
1990,64197,64298,64468,64498,64812,65346,65388,65333,65134,65184,65205,65134
1991,64677,64952,65158,65291,65186,65848,65896,65587,65640,65464,65432,65352
1992,65466,65621,65874,65975,66357,66848,66838,66642,66380,66269,66188,66097
1993,65963,66213,66369,66225,66694,67177,67236,67071,66654,66871,66609,66626
1994,66412,66483,66513,66458,66742,66985,67138,67176,66996,67392,67364,67388
1995,67044,67060,67312,67288,67312,67600,67610,67446,67374,67473,67203,67164
1996,66990,67355,67753,67625,68095,68439,68639,68390,68140,68495,68375,68227
1997,68429,68447,68937,68933,69146,69549,69614,69571,69204,69361,69455,69350
1998,69013,69104,69356,69480,69752,69968,70202,69823,69817,70051,70065,69949
1999,69687,69746,69781,69848,70069,70486,70612,70509,70286,70401,70441,70460
2000,71351,71645,71647,71693,71774,72227,72237,72449,72102,72329,72350,72321
2001,72262,72296,72455,72658,72636,72868,73082,72991,73056,73212,73070,73207
2002,72964,73186,73279,73439,73701,73878,73942,73968,73976,73950,73611,73666
2003,73896,74206,74208,74504,74410,74843,74852,74727,74773,74955,75125,74984
2004,74965,74719,74991,74806,74965,75592,75876,75798,75426,75744,75857,75625
2005,75322,75640,75802,76068,76391,76772,77024,77119,76769,76978,76756,76670
2006,76513,76753,77125,77275,77446,77608,77723,77928,77866,78145,78161,78198
2007,77991,77986,78217,78315,78522,78767,79078,78793,78667,78805,79113,78893
2008,78463,78378,78691,78632,78859,79231,79752,79476,79307,79462,79243,79071
2009,78741,78879,78826,78811,79156,79245,79337,79132,78661,78857,78723,78392
2010,78451,78678,79059,79122,79088,79201,79356,79426,79081,78859,78822,78780
2011,78346,78672,78788,78702,79223,79324,79322,79362,79224,79329,79378,79288
2012,78710,78986,79175,78839,79511,79733,79758,79436,79516,79873,79554,79552
2013,79583,79511,79529,79551,80015,80186,80275,79902,79824,79468,79743,79335
2014,79310,79528,79949,79571,80020,80458,80684,80486,80278,80241,80074,80068
2015,80179,80394,80533,80670,81102,81074,81320,80892,80633,80817,80548,80663
2016,80731,81306,81659,81655,81637,82209,82393,82048,82020,82065,81751,81640
2017,81551,81782,81924,82019,82130,82394,82656,82474,82633,82455,82257,82193
2018,82431,83053,83162,83225,83458,83470,83534,83140,83115,83332,83231,83101
2019,83139,83435,83603,83415,83785,83837,84284,83939,83837,83967,83970,83628
2020,83600,83804,83174,80379,81240,82203,82353,82554,82248,82575,82134,81877
2021,81801,81978,81992,0,0,0,0,0,0,0,0,0
