Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,14540,14879,14885,15312,15329,16064,15723,15532,16042,15920,15971,15809
1949,15159,15311,15395,15403,16137,16167,16048,16096,16328,16518,16804,16365
1950,16020,16096,16149,16388,16650,17108,16341,16700,16853,17319,17469,17038
1951,16706,16666,17151,16885,17448,17120,17204,17070,17464,17868,17866,17664
1952,17180,17204,17022,17030,17614,17412,16968,17236,18220,18052,18496,17764
1953,17647,17483,17741,17555,17551,17727,17406,17326,17830,18290,18055,17475
1954,17281,17792,17954,17946,18232,17866,17463,17596,18490,18634,18646,18067
1955,18012,18049,18031,18547,18692,18617,18605,18922,19474,19858,19700,19388
1956,19031,18887,19121,19367,20012,19630,19455,19404,20136,20356,20084,19695
1957,19204,19524,19631,19644,20009,19842,19847,19478,20169,20567,20378,20173
1958,19727,19955,20147,20355,20624,20340,20052,20088,20472,20796,20555,20314
1959,20095,20092,20494,20559,20956,20709,20322,20178,20724,21284,20913,20731
1960,20268,20462,20502,21172,21507,21359,21047,20968,21709,21695,21960,21563
1961,21216,21614,21955,21688,22044,21954,21303,21151,21518,22127,21864,21534
1962,21421,21669,21825,21794,22036,21716,21316,21624,22311,22409,22283,22013
1963,21814,22179,22413,22601,22796,22390,21988,21927,22649,23066,23139,22714
1964,22470,22908,23074,23506,23617,23152,22477,22623,23073,23483,23462,23333
1965,23104,23463,23549,23646,23823,23856,23311,23260,23705,24153,24249,24122
1966,23811,23968,24041,24247,24523,24188,23727,23912,24828,25197,25479,25250
1967,24955,25091,24999,25270,25163,25128,24861,24947,25903,26397,26485,26496
1968,25616,26084,26141,26118,26465,26183,25678,25494,26427,26825,27138,27023
1969,26751,27229,27232,27337,27262,27153,26784,26909,27711,28166,28189,28229
1970,27945,28166,28348,28381,28040,27840,27752,27719,28346,28984,29108,28987
1971,28848,28876,28788,28657,28659,28243,27961,28272,29202,29672,29900,29772
1972,29620,29693,29872,29708,29827,29426,29214,29493,30240,30654,30554,30524
1973,30190,30623,30729,30767,30793,30647,30427,30561,31401,31856,32045,31859
1974,31495,31840,31983,31951,31970,31788,31884,31878,32675,32978,33008,32962
1975,33043,32977,33208,33180,33145,32995,32808,33133,33827,34343,34154,34122
1976,34245,34413,34500,34468,34362,34388,34314,34616,35294,35618,35806,35750
1977,35413,35746,36022,36012,36081,35880,35550,35833,37036,37211,37562,37377
