Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,48365,48423,48482,48529,48590,48654,48755,48799,48860,48926,48982,49037
1949,49090,49142,49200,49254,49311,49367,49428,49488,49543,49610,49660,49724
1950,49771,49827,49884,49942,49987,50040,50099,50186,50244,50308,50363,50417
1951,50464,50516,50574,50621,50669,50719,50778,50832,50886,50942,50998,51050
1952,51096,51146,51192,51238,51288,51346,51400,51450,51502,51556,51608,51656
1953,51875,51911,51950,51986,52034,52086,52134,52180,52233,52282,52328,52370
1954,52421,52461,52503,52541,52589,52624,52659,52711,52758,52811,52863,52911
1955,52955,52976,53047,53085,53152,53208,53268,53320,53369,53417,53466,53523
1956,53557,53599,53644,53675,53754,53791,53840,53882,53935,53989,54037,54082
1957,54129,54169,54224,54280,54326,54396,54457,54510,54560,54617,54667,54712
1958,54751,54793,54842,54882,54928,54977,55013,55052,55101,55159,55212,55261
1959,55308,55352,55396,55442,55493,55540,55591,55642,55695,55747,55794,55845
1960,56087,56131,56183,56216,56259,56310,56363,56419,56474,56532,56625,56705
1961,56776,56824,56870,56932,56990,57046,57104,57168,57229,57293,57352,57409
1962,57459,57520,57580,57619,57675,57734,57861,57931,58006,58078,58148,58220
1963,58282,58342,58412,58468,58514,58586,58654,58710,58768,58839,58904,58966
1964,59036,59096,59154,59217,59288,59355,59423,59489,59557,59626,59694,59759
1965,59816,59877,59943,60000,60061,60127,60110,60169,60236,60303,60362,60425
1966,60479,60535,60596,60652,60718,60778,60836,60941,61041,61148,61249,61351
1967,61454,61549,61651,61748,61852,61966,62079,62206,62307,62404,62495,62586
1968,62673,62760,62841,62921,63015,63112,63211,63304,63397,63484,63579,63673
1969,63759,63827,63922,64013,64125,64215,64335,64422,64509,64611,64700,64792
1970,64871,64962,65052,65140,65246,65332,65445,65552,65661,65773,65881,65991
1971,66099,66190,66301,66410,66517,66623,66731,66835,66952,67068,67173,67284
1972,67895,68003,68102,68188,68300,68416,68534,68650,68765,68875,68988,69102
1973,69213,69314,69423,69527,69643,69754,69873,69988,70104,70223,70337,70432
1974,70506,70615,70726,70845,70971,71090,71209,71325,71426,71549,71671,71788
1975,71903,72022,72134,72241,72364,72496,72669,72794,72893,73007,73130,73255
1976,73373,73484,73605,73712,73832,73958,74085,74212,74341,74444,74569,74627
1977,74747,74863,74978,75099,75243,75381,75515,75645,75768,75895,76015,76142
1978,76266,76382,76490,76610,76743,76880,77014,77137,77266,77401,77524,77655
1979,77779,77895,78050,78121,78281,78421,78553,78677,78805,78998,79127,79255
1980,79385,79506,79626,79746,79863,79996,80151,80264,80383,80502,80617,80732
1981,80856,80966,81076,81193,81308,81434,81561,81671,81792,81920,82038,82151
1982,82260,82367,82478,82591,82707,82811,82926,83035,83152,83271,83385,83383
1983,83490,83593,83699,83794,83899,84008,84122,84224,84333,84443,84553,84666
1984,84860,84962,85064,85168,85272,85380,85488,85581,85688,85793,85897,85995
1985,86015,86086,86181,86274,86380,86477,86575,86652,86727,86810,86901,86988
1986,87112,87185,87263,87355,87444,87547,87629,87689,87779,87856,87933,88016
1987,88150,88237,88321,88395,88464,88546,88632,88685,88785,88843,88923,89010
1988,89110,89178,89261,89307,89382,89502,89588,89670,89735,89807,89887,89954
1989,90072,90153,90242,90318,90432,90526,90607,90684,90771,90860,90952,91042
1990,91148,91203,91280,91359,91451,91531,91615,91747,91838,91956,92079,92162
1991,92287,92331,92389,92465,92558,92639,92745,92826,92923,93021,93116,93193
1992,93291,93377,93423,93483,93584,93653,93730,93825,93923,94012,94099,94215
1993,94282,94369,94413,94465,94509,94550,94664,94739,94837,94923,94977,95040
1994,95109,95159,95225,95282,95329,95407,95469,95544,95658,95729,95821,95873
1995,95961,96020,96037,96099,96141,96204,96265,96327,96409,96487,96555,96633
1996,96717,96757,96798,96857,96925,96999,97064,97146,97226,97290,97366,97457
1997,97520,97571,97638,97685,97767,97834,97919,98000,98082,98144,98212,98300
1998,98420,98471,98534,98583,98668,98735,98778,98901,98994,99037,99135,99181
1999,99686,99746,99833,99923,100008,100131,100203,100285,100385,100458,100573,100666
2000,102205,102313,102371,102495,102639,102737,102860,102966,103090,103226,103184,103389
2001,103449,103525,103649,103764,103847,103947,104003,104113,104239,104347,104422,104490
2002,104553,104668,104752,104871,104977,105089,105190,105334,105421,105509,105594,105678
2003,106235,106322,106411,106510,106613,106724,106839,106957,107080,107197,107303,107404
2004,107131,107216,107299,107389,107483,107586,107687,107801,107920,108032,108129,108221
2005,108316,108403,108486,108573,108672,108776,108880,108996,109114,109228,109332,109425
2006,109478,109562,109646,109736,109829,109927,110026,110134,110241,110349,110445,110528
2007,110803,110880,110964,111057,111157,111259,111367,111479,111590,111703,111805,111903
2008,111739,111822,111902,111990,112083,112183,112290,112401,112518,112633,112731,112825
2009,112738,112824,112908,112999,113089,113189,113296,113405,113522,113636,113737,113832
2010,113796,113886,113974,114066,114160,114264,114372,114481,114596,114704,114801,114894
2011,114637,114714,114792,114868,114954,115045,115138,115238,115338,115437,115526,115602
2012,117082,117170,117260,117353,117448,117546,117648,117760,117869,117980,118079,118170
2013,118348,118433,118520,118612,118708,118804,118907,119018,119131,119246,119341,119433
2014,119497,119583,119669,119760,119852,119948,120052,120156,120265,120370,120465,120557
2015,120970,121060,121152,121246,121342,121445,121551,121660,121773,121880,121979,122071
2016,122263,122345,122433,122524,122622,122728,122835,122949,123066,123179,123285,123383
2017,123052,123131,123212,123296,123386,123480,123577,123679,123781,123882,123975,124057
2018,124328,124407,124491,124579,124674,124771,124875,124983,125091,125200,125299,125393
2019,125099,125177,125252,125332,125419,125509,125604,125705,125806,125907,125998,126082
2020,125770,125841,125915,125991,126072,126155,126243,126336,126429,126520,126604,126681
2021,126507,126546,126594,0,0,0,0,0,0,0,0,0
