Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,102603,102698,102771,102831,102923,102992,103216,103240,103291,103361,103424,103468
1949,103529,103559,103665,103739,103845,103930,104042,104121,104219,104338,104421,104524
1950,104619,104737,104844,104943,105014,105104,105194,105282,105269,105096,104979,104872
1951,104844,104604,104629,104541,104491,104488,104504,104536,104588,104690,104740,104810
1952,104862,104868,104860,104906,104996,105118,105246,105346,105436,105591,105706,105812
1953,106594,106678,106744,106826,106910,106978,107034,107132,107253,107383,107504,107623
1954,107763,107880,107987,108080,108184,108267,108344,108440,108546,108668,108798,108892
1955,109059,109078,109254,109377,109544,109680,109792,109882,109977,110085,110177,110296
1956,110390,110478,110582,110650,110810,110903,111019,111099,111222,111335,111432,111526
1957,111626,111711,111824,111933,112031,112172,112317,112421,112554,112710,112874,113013
1958,113138,113234,113337,113415,113534,113647,113727,113835,113977,114138,114283,114429
1959,114582,114712,114849,114986,115144,115287,115429,115555,115668,115798,115916,116040
1960,116594,116702,116827,116910,117033,117167,117281,117431,117521,117643,117829,118001
1961,118155,118250,118358,118503,118638,118767,118889,119006,119107,119202,119153,119214
1962,119300,119360,119476,119702,119813,119943,120128,120323,120653,120856,121045,121236
1963,121463,121633,121824,121986,122162,122352,122521,122667,122821,123014,123192,123360
1964,123560,123707,123857,124019,124204,124386,124567,124731,124920,125108,125291,125468
1965,125647,125810,125985,126155,126320,126499,126573,126756,126906,127043,127171,127294
1966,127394,127514,127626,127744,127879,127983,128102,128240,128359,128494,128627,128730
1967,128909,129032,129190,129344,129515,129722,129918,130187,130392,130582,130754,130936
1968,131112,131277,131412,131553,131712,131872,132053,132251,132446,132617,132903,133120
1969,133324,133465,133639,133821,134027,134213,134414,134597,134774,135012,135239,135489
1970,135713,135957,136179,136416,136686,136928,137196,137455,137717,137988,138264,138529
1971,138795,139021,139285,139566,139826,140090,140343,140596,140869,141146,141393,141666
1972,142736,143017,143263,143483,143760,144033,144285,144522,144761,144988,145211,145446
1973,145720,145943,146230,146459,146719,146981,147233,147471,147731,147980,148219,148479
1974,148753,148982,149225,149478,149750,150012,150248,150493,150753,151009,151256,151494
1975,151755,151990,152217,152443,152704,152976,153309,153580,153848,154082,154338,154589
1976,154853,155066,155306,155529,155765,156027,156276,156525,156779,156993,157235,157438
1977,157688,157913,158131,158371,158657,158929,159185,159430,159674,159915,160129,160377
1978,160617,160831,161038,161263,161518,161795,162034,162259,162502,162783,163017,163272
1979,163516,163726,164027,164162,164459,164721,164970,165198,165431,165813,166051,166300
1980,166544,166759,166984,167197,167407,167643,167932,168103,168297,168503,168695,168883
1981,169104,169280,169453,169641,169829,170042,170246,170399,170593,170809,170996,171166
1982,171335,171489,171667,171844,172026,172190,172364,172511,172690,172881,173058,173199
1983,173354,173505,173656,173794,173953,174125,174306,174440,174602,174779,174951,175121
1984,175533,175679,175824,175969,176123,176284,176440,176583,176763,176956,177135,177306
1985,177384,177516,177667,177799,177944,178096,178263,178405,178572,178770,178940,179112
1986,179670,179821,179985,180148,180311,180503,180682,180828,180997,181186,181363,181547
1987,181827,181998,182179,182344,182533,182703,182885,183002,183161,183311,183470,183620
1988,183822,183969,184111,184232,184374,184562,184729,184830,184962,185114,185244,185402
1989,185644,185777,185897,186024,186181,186329,186483,186598,186726,186871,187017,187165
1990,188413,188516,188630,188778,188913,189058,189188,189342,189528,189710,189872,190017
1991,190163,190271,190381,190517,190650,190800,190946,191116,191302,191497,191657,191798
1992,191953,192067,192204,192354,192503,192663,192826,193018,193229,193442,193621,193784
1993,193962,194108,194248,194398,194549,194719,194882,195063,195259,195444,195625,195794
1994,195953,196090,196213,196363,196510,196693,196859,197043,197248,197430,197607,197765
1995,197753,197886,198007,198148,198286,198453,198615,198801,199005,199192,199355,199508
1996,199634,199773,199921,200101,200278,200459,200641,200847,201061,201273,201463,201636
1997,202285,202389,202513,202674,202832,203000,203166,203364,203570,203767,203941,204098
1998,204238,204400,204547,204731,204899,205085,205270,205479,205699,205919,206104,206270
1999,206719,206873,207036,207236,207427,207632,207828,208038,208265,208483,208666,208832
2000,211410,211576,211772,212018,212242,212466,212677,212916,213163,213405,213540,213736
2001,213888,214110,214305,214525,214732,214950,215180,215420,215665,215903,216117,216315
2002,216506,216663,216823,217006,217198,217407,217630,217866,218107,218340,218548,218741
2003,219897,220114,220317,220540,220768,221014,221252,221507,221779,222039,222279,222509
2004,222161,222357,222550,222757,222967,223196,223422,223677,223941,224192,224422,224640
2005,224837,225041,225236,225441,225670,225911,226153,226421,226693,226959,227204,227425
2006,227553,227763,227975,228199,228428,228671,228912,229167,229420,229675,229905,230108
2007,230650,230834,231034,231253,231480,231713,231958,232211,232461,232715,232939,233156
2008,232616,232809,232995,233198,233405,233627,233864,234107,234360,234612,234828,235035
2009,234739,234913,235086,235271,235452,235655,235870,236087,236322,236550,236743,236924
2010,236832,236998,237159,237329,237499,237690,237890,238099,238322,238530,238715,238889
2011,238704,238851,239000,239146,239313,239489,239671,239871,240071,240269,240441,240584
2012,242269,242435,242604,242784,242966,243155,243354,243566,243772,243983,244174,244350
2013,244663,244828,244995,245175,245363,245552,245756,245959,246168,246381,246567,246745
2014,246915,247085,247258,247439,247622,247814,248023,248229,248446,248657,248844,249027
2015,249723,249899,250080,250266,250455,250663,250876,251096,251325,251541,251747,251936
2016,252397,252577,252768,252969,253174,253397,253620,253854,254091,254321,254540,254742
2017,254082,254246,254414,254588,254767,254957,255151,255357,255562,255766,255949,256109
2018,256780,256934,257097,257272,257454,257642,257843,258066,258290,258514,258708,258888
2019,258239,258392,258537,258693,258861,259037,259225,259432,259638,259845,260020,260181
2020,259502,259628,259758,259896,260047,260204,260373,260558,260742,260925,261085,261230
