year,month_name,month,date,civilian_pop,employment_level,total_labor_force,overall_unemployment_rate,women_pop,women_lf_level,women_ee_level,women_lf_part_rate,women_not_in_labor_force,women_unempl_level,womens_unempl_rate,men_unempl_level,men_lf_level,mens_unempl_rate
1948,Jan,1,1948-01-01,102603,56339,58690,4.0,48365,14540,14094,30.1,33825,446,3.1,1511,40238,3.8
1948,Feb,2,1948-02-01,102698,56440,59247,4.7,48423,14879,14229,30.7,33544,650,4.4,1694,40330,4.2
1948,Mar,3,1948-03-01,102771,56601,59247,4.5,48482,14885,14293,30.7,33597,592,4.0,1614,40269,4.0
1948,Apr,4,1948-04-01,102831,57471,59878,4.0,48529,15312,14751,31.6,33217,561,3.7,1482,40432,3.7
1948,May,5,1948-05-01,102923,57763,59777,3.4,48590,15329,14838,31.5,33261,491,3.2,1245,40413,3.1
1948,Jun,6,1948-06-01,102992,59724,62132,3.9,48654,16064,15472,33.0,32590,592,3.7,1108,40768,2.7
1948,Jul,7,1948-07-01,103216,59955,62366,3.9,48755,15723,15119,32.2,33032,604,3.8,1195,41105,2.9
1948,Aug,8,1948-08-01,103240,59677,61915,3.6,48799,15532,14897,31.8,33267,635,4.1,1177,41118,2.9
1948,Sep,9,1948-09-01,103291,59337,61398,3.4,48860,16042,15462,32.8,32818,580,3.6,1146,40947,2.8
1948,Oct,10,1948-10-01,103361,59290,61037,2.9,48926,15920,15410,32.5,33006,510,3.2,981,40900,2.4
1948,Nov,11,1948-11-01,103424,58991,61024,3.3,48982,15971,15418,32.6,33011,553,3.5,1163,40926,2.8
1948,Dec,12,1948-12-01,103468,58554,60759,3.6,49037,15809,15255,32.2,33228,554,3.5,1344,40800,3.3
1949,Jan,1,1949-01-01,103529,56486,59481,5.0,49090,15159,14531,30.9,33931,628,4.1,1923,40514,4.7
1949,Feb,2,1949-02-01,103559,56320,59794,5.8,49142,15311,14603,31.2,33831,708,4.6,2292,40577,5.6
1949,Mar,3,1949-03-01,103665,56809,60192,5.6,49200,15395,14766,31.3,33805,629,4.1,2267,40838,5.6
1949,Apr,4,1949-04-01,103739,56929,60206,5.4,49254,15403,14679,31.3,33851,724,4.7,2081,40877,5.1
1949,May,5,1949-05-01,103845,57669,61185,5.7,49311,16137,15317,32.7,33174,820,5.1,2154,40918,5.3
1949,Jun,6,1949-06-01,103930,58231,62197,6.4,49367,16167,15302,32.7,33200,865,5.4,2163,41106,5.3
1949,Jul,7,1949-07-01,104042,58171,62559,7.0,49428,16048,15041,32.5,33380,1007,6.3,2547,41291,6.2
1949,Aug,8,1949-08-01,104121,58504,62460,6.3,49488,16096,15071,32.5,33392,1025,6.4,2293,41314,5.6
1949,Sep,9,1949-09-01,104219,58324,61959,5.9,49543,16328,15373,33.0,33215,955,5.8,2115,41302,5.1
1949,Oct,10,1949-10-01,104338,58050,61838,6.1,49610,16518,15629,33.3,33092,889,5.4,2419,41211,5.9
1949,Nov,11,1949-11-01,104421,58616,62186,5.7,49660,16804,15839,33.8,32856,965,5.7,2108,41246,5.1
1949,Dec,12,1949-12-01,104524,57712,61402,6.0,49724,16365,15487,32.9,33359,878,5.4,2270,41074,5.5
1950,Jan,1,1950-01-01,104619,56189,60837,7.6,49771,16020,14917,32.2,33751,1103,6.9,2882,41062,7.0
1950,Feb,2,1950-02-01,104737,56197,60988,7.9,49827,16096,15004,32.3,33731,1092,6.8,3041,41086,7.4
1950,Mar,3,1950-03-01,104844,56733,61046,7.1,49884,16149,15171,32.4,33735,978,6.1,2802,41211,6.8
1950,Apr,4,1950-04-01,104943,57812,61477,6.0,49942,16388,15565,32.8,33554,823,5.0,2429,41326,5.9
1950,May,5,1950-05-01,105014,58719,61982,5.3,49987,16650,15823,33.3,33337,827,5.0,1930,41420,4.7
1950,Jun,6,1950-06-01,105104,59997,63548,5.6,50040,17108,16180,34.2,32932,928,5.4,1779,41559,4.3
1950,Jul,7,1950-07-01,105194,59839,63155,5.3,50099,16341,15503,32.6,33758,838,5.1,1826,41648,4.4
1950,Aug,8,1950-08-01,105282,60948,63561,4.1,50186,16700,15980,33.3,33486,720,4.3,1443,41745,3.5
1950,Sep,9,1950-09-01,105269,60245,62735,4.0,50244,16853,16097,33.5,33391,756,4.5,1328,41614,3.2
1950,Oct,10,1950-10-01,105096,60708,62763,3.3,50308,17319,16661,34.4,32989,658,3.8,1074,41210,2.6
1950,Nov,11,1950-11-01,104979,60313,62669,3.8,50363,17469,16631,34.7,32894,838,4.8,1186,41126,2.9
1950,Dec,12,1950-12-01,104872,59352,61761,3.9,50417,17038,16354,33.8,33379,684,4.0,1343,40790,3.3
1951,Jan,1,1951-01-01,104844,58166,60815,4.4,50464,16706,15927,33.1,33758,779,4.7,1522,40516,3.8
1951,Feb,2,1951-02-01,104604,58102,60640,4.2,50516,16666,15912,33.0,33850,754,4.5,1450,40388,3.6
1951,Mar,3,1951-03-01,104629,59366,61689,3.8,50574,17151,16357,33.9,33423,794,4.6,1216,40782,3.0
1951,Apr,4,1951-04-01,104541,59206,61144,3.2,50621,16885,16204,33.4,33736,681,4.0,995,40616,2.4
1951,May,5,1951-05-01,104491,60219,61989,2.9,50669,17448,16790,34.4,33221,658,3.8,859,40663,2.1
1951,Jun,6,1951-06-01,104488,60373,62505,3.4,50719,17120,16476,33.8,33599,644,3.8,919,40736,2.3
1951,Jul,7,1951-07-01,104504,60968,63040,3.3,50778,17204,16582,33.9,33574,622,3.6,954,40712,2.3
1951,Aug,8,1951-08-01,104536,61128,62934,2.9,50832,17070,16482,33.6,33762,588,3.4,878,40826,2.2
1951,Sep,9,1951-09-01,104588,60408,62294,3.0,50886,17464,16744,34.3,33422,720,4.1,862,40672,2.1
1951,Oct,10,1951-10-01,104690,60906,62660,2.8,50942,17868,17198,35.1,33074,670,3.7,856,40768,2.1
1951,Nov,11,1951-11-01,104740,60464,62454,3.2,50998,17866,17120,35.0,33132,746,4.2,928,40698,2.3
1951,Dec,12,1951-12-01,104810,60252,62048,2.9,51050,17664,17048,34.6,33386,616,3.5,914,40484,2.3
1952,Jan,1,1952-01-01,104862,58884,61142,3.7,51096,17180,16534,33.6,33916,646,3.8,1230,40348,3.0
1952,Feb,2,1952-02-01,104868,58834,61174,3.8,51146,17204,16526,33.6,33942,678,3.9,1312,40346,3.3
1952,Mar,3,1952-03-01,104860,58912,60914,3.3,51192,17022,16470,33.3,34170,552,3.2,1152,40292,2.9
1952,Apr,4,1952-04-01,104906,59232,61068,3.0,51238,17030,16470,33.2,34208,560,3.3,1022,40376,2.5
1952,May,5,1952-05-01,104996,60250,62032,2.9,51288,17614,17036,34.3,33674,578,3.3,862,40532,2.1
1952,Jun,6,1952-06-01,105118,60988,63020,3.2,51346,17412,16898,33.9,33934,514,3.0,930,40786,2.3
1952,Jul,7,1952-07-01,105246,60775,62860,3.3,51400,16968,16427,33.0,34432,541,3.2,1062,40862,2.6
1952,Aug,8,1952-08-01,105346,60872,62790,3.1,51450,17236,16660,33.5,34214,576,3.3,1008,40732,2.5
