SuperSector,Feb2020_total,Feb2020_women,Feb2021_total,Feb2021_women,% Women Field,12MO Net Change All_Neg,12MO Net Change_Neg,% Women Job Loss,12Mo % Changeall,12Mo % Change,12Mo Net Change,12Mo Net Change All,% Men Field,% Men Job Loss
Mining and logging,690.0,89.0,590.0,81.0,0.1289855072463768,-100.0,-8.0,0.08,-0.14492753623188406,-0.0898876404494382,8000.0,100000.0,0.8710144927536232,0.92
Construction,7648.0,996.0,7356.0,992.0,0.13023012552301255,-292.0,-4.0,0.0136986301369863,-0.038179916317991634,-0.004016064257028112,4000.0,292000.0,0.8697698744769875,0.9863013698630136
Manufacturing: Durable Goods,8007.0,1947.0,7590.0,1862.0,0.24316223304608467,-417.0,-85.0,0.2038369304556355,-0.052079430498313976,-0.04365690806368772,85000.0,417000.0,0.7568377669539154,0.7961630695443644
Manufacturing: Nondurable Goods,4792.0,1724.0,4641.0,1654.0,0.3597662771285476,-151.0,-70.0,0.46357615894039733,-0.03151085141903172,-0.04060324825986079,70000.0,151000.0,0.6402337228714524,0.5364238410596027
Wholesale trade,5895.2,1770.9,5637.6,1689.3,0.30039693309811377,-257.59999999999945,-81.60000000000014,0.31677018633540494,-0.043696566698330754,-0.04607826528883626,81600.00000000013,257599.99999999945,0.6996030669018862,0.6832298136645951
Retail trade,15609.8,7736.9,15206.3,7374.9,0.49564376225191864,-403.5,-362.0,0.8971499380421314,-0.02584914604927674,-0.046788765526244364,362000.0,403500.0,0.5043562377480814,0.10285006195786861
Transportation and warehousing,5823.1,1517.3,5709.5,1453.7,0.260565678075252,-113.60000000000036,-63.59999999999991,0.5598591549295748,-0.01950850921330569,-0.041916562314637786,63599.99999999991,113600.00000000036,0.739434321924748,0.44014084507042517
Utilities,547.4,133.3,539.3,133.6,0.24351479722323716,-8.100000000000023,0.29999999999998295,-0.03703703703703483,-0.014797223237120977,0.002250562640660037,-299.99999999998295,8100.000000000023,0.7564852027767628,1.0370370370370348
Information,2914.0,1154.0,2675.0,1065.0,0.39601921757035,-239.0,-89.0,0.3723849372384937,-0.08201784488675361,-0.07712305025996534,89000.0,239000.0,0.6039807824296499,0.6276150627615062
Financial Activities,8875.0,5015.0,8772.0,4968.0,0.5650704225352112,-103.0,-47.0,0.4563106796116505,-0.011605633802816902,-0.009371884346959123,47000.0,103000.0,0.4349295774647888,0.5436893203883495
Professional and business services,21469.0,9845.0,20718.0,9566.0,0.45856816805626716,-751.0,-279.0,0.3715046604527297,-0.03498066980297173,-0.02833925850685627,279000.0,751000.0,0.5414318319437328,0.6284953395472703
Education and health services,24565.0,19016.0,23292.0,18014.0,0.774109505393853,-1273.0,-1002.0,0.7871170463472114,-0.05182169753714635,-0.052692469499368955,1002000.0,1273000.0,0.22589049460614696,0.21288295365278864
Leisure and hospitality,16915.0,9004.0,13501.0,7195.0,0.5323086018326929,-3414.0,-1809.0,0.5298769771528998,-0.20183269287614544,-0.20091070635273212,1809000.0,3414000.0,0.4676913981673071,0.47012302284710017
Other services,5937.0,3170.0,5499.0,2931.0,0.5339397001852788,-438.0,-239.0,0.545662100456621,-0.07377463365336029,-0.07539432176656151,239000.0,438000.0,0.4660602998147212,0.454337899543379
Government,22835.0,13191.0,21477.0,12373.0,0.5776658638055616,-1358.0,-818.0,0.6023564064801178,-0.059470111670680975,-0.062011977863694945,818000.0,1358000.0,0.4223341361944384,0.3976435935198822
