Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,56339,56440,56601,57471,57763,59724,59955,59677,59337,59290,58991,58554
1949,56486,56320,56809,56929,57669,58231,58171,58504,58324,58050,58616,57712
1950,56189,56197,56733,57812,58719,59997,59839,60948,60245,60708,60313,59352
1951,58166,58102,59366,59206,60219,60373,60968,61128,60408,60906,60464,60252
1952,58884,58834,58912,59232,60250,60988,60775,60872,61162,60992,61394,60748
1953,60134,60271,60874,60757,61061,62166,62186,62271,61529,61805,61302,59796
1954,58645,59059,59119,59537,60020,60497,60523,60858,60952,61210,60901,59990
1955,59354,59336,59850,60861,61780,62568,63497,63876,63676,64138,63840,63268
1956,62049,61773,62172,63002,64045,64707,64940,65085,64831,65074,64310,63619
1957,61974,62512,63134,63512,64213,65127,65726,65009,64769,65112,64129,63598
1958,61508,61265,61567,62116,63098,63652,63810,64018,63766,64480,63890,63266
1959,62052,62015,63091,64241,65036,65924,66193,65897,65414,65891,64877,64927
1960,63375,63871,63607,65450,66342,67288,67239,67004,66892,66563,66394,65287
1961,63797,63869,64700,64957,65831,67151,66911,67028,66036,66786,66348,65531
1962,64215,64872,65421,65957,67066,67852,67849,68096,67621,67850,67046,66585
1963,65168,65519,66329,67240,67984,68844,69225,69052,68567,68964,68471,67791
1964,66468,67197,67695,68947,69952,70448,70839,70676,69849,70147,69892,69543
1965,68235,68690,69385,70220,71298,72278,73093,72695,71408,72112,71824,71819
1966,70368,70691,71090,72066,72619,74037,74655,74665,73248,73744,73995,73600
1967,72161,72505,72560,73445,73638,75393,76220,76170,74632,75180,75218,75337
1968,73272,74114,74517,75143,75931,77273,77748,77431,75939,76365,76608,76699
1969,75357,76180,76520,77077,77265,78958,79615,79646,78026,78671,78716,78789
1970,77313,77489,77957,78408,78374,79416,80343,79965,78341,79019,78860,78651
1971,77389,77427,77675,78404,78929,79717,80942,80897,79589,80375,80527,80527
1972,79459,79734,80578,81027,81646,83073,83911,83993,82537,83223,83231,83424
1973,81598,82405,83397,83900,84383,86217,87042,86616,85552,86717,86562,86390
1974,84843,85061,85659,85994,86611,88022,88897,88479,87162,87779,86863,86169
1975,83928,83573,84018,84551,85173,86507,87742,87726,86399,87160,86700,86689
1976,85652,85932,86769,87786,88510,89727,90908,90690,89281,90041,89892,89850
