Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,38727,38636,38655,38950,39168,39660,39910,39941,39801,39919,39763,39456
1949,38591,38285,38571,38796,38764,38943,38744,39021,39187,38792,39138,38804
1950,38180,38045,38409,38897,39490,39780,39822,40302,40286,40136,39940,39447
1951,38994,38938,39566,39621,39804,39817,39758,39948,39810,39912,39770,39570
1952,39118,39034,39140,39354,39670,39856,39800,39724,39740,39830,39796,39873
1953,39662,39813,40187,40116,40429,40663,40671,40825,40548,40535,40383,39711
1954,39208,39163,39031,39378,39579,39808,39797,40054,40041,40006,39957,39590
1955,39310,39234,39578,39867,40531,40803,41104,41243,41287,41314,41206,40841
1956,40496,40365,40618,41065,41291,41598,41606,41769,41628,41697,41478,40979
1957,40443,40538,40915,41123,41491,41826,41875,41753,41630,41532,41106,40639
1958,39857,39521,39564,39909,40403,40657,40686,40826,40966,41174,40936,40432
1959,39944,39865,40452,41233,41546,41861,42010,41946,41803,41853,41316,41377
1960,40784,40889,40715,41441,41849,42062,41946,41967,42062,41943,41755,41097
1961,40491,40337,40669,41041,41344,41865,41726,41821,41853,41978,41764,41216
1962,40674,40917,41130,41488,42043,42288,42182,42345,42432,42504,42142,41635
1963,41083,41124,41526,41966,42329,42837,42940,42845,42915,42808,42561,42084
1964,41665,41831,42079,42726,43203,43337,43517,43453,43381,43351,43265,42820
1965,42436,42569,42874,43249,43757,44067,44050,43935,43688,43693,43498,43243
1966,42741,42881,43120,43578,43835,44183,44126,44170,43980,43990,43840,43568
1967,43342,43471,43516,43942,44129,44716,44891,44969,44761,44714,44611,44458
1968,43926,44123,44264,44646,44886,45413,45474,45460,45125,45000,44988,45008
1969,44477,44777,44911,45147,45324,45804,45846,46095,45706,45649,45541,45378
1970,44966,44998,45250,45529,45673,46038,46062,46069,45810,45731,45586,45268
1971,44834,44790,45096,45605,45902,46360,46555,46620,46400,46421,46270,46095
1972,45748,45868,46359,46633,46915,47639,47835,47922,47760,47720,47603,47563
1973,46937,47081,47589,47820,48027,48755,49070,48972,48822,49057,48850,48738
1974,48287,48179,48395,48549,48999,49471,49520,49588,49420,49416,48933,48313
1975,47283,47047,47155,47457,47813,48291,48670,48871,48566,48617,48313,48138
1976,47777,47827,48178,48796,49183,49578,49868,50044,49915,49963,49680,49479
1977,48927,48949,49363,49892,50285,51129,51220,51367,51233,51473,51441,51378
1978,50686,50673,50981,51614,52060,52843,52837,52857,52684,52867,52932,52690
1979,52203,52302,52472,52773,53198,53902,54039,53982,53926,53909,53576,53424
1980,52590,52747,52720,52717,52961,53299,53407,53472,53288,53514,53337,53168
1981,52467,52505,53030,53551,53937,54130,54526,54416,54074,53920,53471,52962
1982,52162,52221,52418,52736,53309,53489,53619,53516,53212,53056,52670,52290
1983,51529,51506,51982,52469,53021,54078,54570,54586,54444,54580,54631,54452
1984,53983,54220,54630,55022,55760,56585,56662,56710,56554,56610,56402,56090
1985,55183,55240,55713,56012,56646,56948,57147,57416,57263,57335,57077,56767
1986,56645,56325,56730,57010,57412,58105,58227,58344,58036,58015,58019,57959
1987,57290,57356,57752,58159,58828,59184,59458,59546,59373,59442,59289,59035
1988,58357,58626,58807,59504,59745,60350,60622,60594,60402,60405,60101,59858
1989,59442,59681,60191,60430,60899,61688,61710,61603,61113,61367,61033,60862
1990,60520,60756,61127,61302,61888,62450,62410,62351,62134,62131,61705,61357
1991,60183,60087,60436,61023,61178,61822,61910,61732,61804,61679,61353,60935
1992,59960,60053,60657,61227,61677,62172,62333,62257,62156,62036,61805,61619
1993,60766,60998,61336,61794,62491,62987,63117,63139,62892,63104,62907,62735
1994,61678,61784,62180,62678,63368,63618,63636,63841,63937,64294,64239,64263
1995,63086,63445,63763,63953,64101,64549,64533,64394,64417,64711,64103,63961
1996,63129,63521,64005,64296,64963,65474,65618,65725,65353,65854,65502,65326
1997,64693,64923,65502,65957,66564,66828,66962,67000,66648,66855,66951,66524
1998,65811,66049,66263,67027,67413,67531,67619,67464,67416,67773,67809,67439
1999,66780,66730,67185,67463,67738,68144,68212,68210,68078,68175,68293,68125
2000,68522,68758,68970,69452,69559,70052,70009,70284,69947,70127,70079,69855
