Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,14094,14229,14293,14751,14838,15472,15119,14897,15462,15410,15418,15255
1949,14531,14603,14766,14679,15317,15302,15041,15071,15373,15629,15839,15487
1950,14917,15004,15171,15565,15823,16180,15503,15980,16097,16661,16631,16354
1951,15927,15912,16357,16204,16790,16476,16582,16482,16744,17198,17120,17048
1952,16534,16526,16470,16470,17036,16898,16427,16660,17698,17522,17932,17322
1953,17127,16999,17203,17101,17147,17303,16974,16868,17274,17784,17422,16767
1954,16268,16761,16853,16885,17184,16861,16476,16590,17415,17780,17638,17290
1955,17030,17155,17236,17748,17911,17841,17844,18083,18632,19047,18857,18635
1956,18183,18131,18273,18539,19155,18792,18469,18557,19335,19617,19219,18928
1957,18263,18678,18863,18935,19211,19011,19014,18680,19363,19796,19427,19374
1958,18571,18623,18871,18982,19299,19014,18738,18745,19247,19663,19480,19291
1959,18829,18855,19314,19513,19946,19699,19276,19193,19753,20247,19887,19784
1960,19171,19444,19448,20194,20552,20292,19915,19876,20690,20585,20698,20389
1961,19825,20081,20476,20277,20674,20468,19852,19842,20202,20808,20631,20421
1962,20058,20424,20620,20710,20988,20585,20178,20353,21067,21270,21078,20983
1963,20514,20860,21215,21454,21656,21174,20788,20656,21395,21863,21867,21641
1964,21095,21508,21752,22292,22521,21954,21345,21430,21910,22363,22298,22367
1965,21950,22157,22426,22613,22883,22705,22298,22155,22694,23190,23209,23284
1966,22799,23005,23153,23407,23643,23249,22859,22911,23872,24231,24583,24407
1967,23775,23988,23955,24298,24266,24025,23805,23892,24616,25166,25409,25567
1968,24511,24957,25153,25215,25620,25163,24684,24458,25377,25848,26182,26205
1969,25720,26168,26268,26370,26395,26095,25797,25790,26509,27069,27195,27389
1970,26859,26928,27084,27210,26835,26537,26359,26256,26745,27490,27547,27584
1971,27143,27137,27121,27058,27143,26619,26332,26463,27371,28008,28241,28316
1972,27913,28085,28256,28186,28262,27768,27497,27705,28426,28956,29073,29194
1973,28544,29027,29233,29382,29492,29123,28881,28929,29733,30435,30570,30463
1974,29789,30126,30397,30474,30470,30140,30140,30022,30607,31123,30904,30901
1975,30234,30195,30460,30538,30516,30280,30109,30357,31032,31671,31597,31728
1976,31461,31663,31979,32096,32160,31919,31627,31801,32464,32958,33217,33367
1977,32743,32975,33394,33630,33857,33324,33037,33144,34311,34718,35019,35147
1978,34802,35090,35440,35712,35596,35442,35045,35220,36411,37062,37057,37154
1979,36546,36892,37293,37110,37128,36786,36787,36928,37981,38456,38574,38731
1980,38218,38388,38535,38573,38345,37881,37683,37899,38801,39130,39306,39138
1981,38862,39249,39567,39748,39775,39263,39048,39162,39557,40330,40418,40096
1982,39603,39788,40010,39939,40144,39839,39665,39831,40487,40586,40620,40522
1983,40024,40219,40411,40618,40574,40394,40544,40843,41847,42088,42294,42191
1984,41548,42048,42363,42594,43097,42678,42499,42405,43120,43559,43756,43843
1985,43322,43612,44043,44042,43939,43727,43531,43622,44512,45088,45136,45274
1986,44666,44610,44948,45120,45331,45408,45408,45439,46051,46585,46597,46512
1987,45970,46232,46531,46767,47104,46896,46811,46840,47349,48076,48166,48146
1988,47633,47714,48051,48162,48018,47972,47783,48003,48556,49379,49721,49601
1989,49287,49279,49462,49578,49682,49392,49326,49352,50040,50345,50687,50459
1990,50132,50223,50430,50507,50809,50577,50281,50266,50584,50986,50837,50789
1991,50165,50314,50427,50815,50587,50601,50416,50210,50826,51144,51081,51019
1992,50795,50865,51238,51369,51352,51364,51220,50968,51284,51683,51933,51860
1993,51199,51488,51860,51757,52087,52085,51801,51850,52169,52709,53011,53175
1994,52715,53208,53165,53281,53676,53236,53169,53296,54039,54473,54667,54404
1995,53753,54165,54221,54369,54307,53799,54050,53963,54586,55113,55374,55049
1996,54264,54805,55109,55081,55058,54903,54880,55026,55776,56179,56395,56253
1997,55739,55931,56442,56388,56464,56263,56243,56311,57038,57397,57495,57647
1998,56674,57011,57316,57131,57216,56828,56569,56786,57610,57898,58024,58273
1999,58100,58210,58400,58354,58524,58351,57837,58093,58753,59238,59314,59491
2000,59724,60029,60298,60510,60050,59700,59285,59091,60091,60532,60523,60968
2001,60518,60787,61249,60718,60613,60000,59749,59676,60283,60441,60431,60540
2002,59927,60636,60520,60422,60334,59905,59564,59962,60732,60947,60986,61103
2003,61294,61278,61592,61595,61507,61326,60731,60859,61193,61777,61853,61823
2004,61050,61592,61703,61841,61872,61373,61224,61277,61952,62321,62492,62581
2005,62117,62292,62295,62644,62642,62105,62072,62306,63153,63551,63572,63669
2006,62997,63306,63405,63547,63695,63502,63430,63606,64028,64728,64778,64988
2007,64473,64703,64975,64530,64715,64473,64184,64311,65170,65241,65449,65359
2008,64943,64943,65142,65329,65115,64904,64526,64462,65149,65439,65317,65204
2009,64123,64106,64123,64318,63809,63480,63182,63091,63398,63541,63787,63430
2010,63437,63459,63537,63746,63506,63277,62775,62845,63653,63645,63779,63809
2011,63300,63277,63681,63733,63423,62811,62603,62746,63529,63837,63710,63676
2012,64062,64486,64756,64822,64840,64288,63703,64023,65058,65316,65175,65152
2013,64589,64973,65038,65533,65611,64981,64754,65129,65748,65565,65775,65849
2014,65775,66319,66170,66452,66466,65952,65468,65631,66335,66900,67176,66797
2015,66894,67058,67022,67303,67493,67003,66485,66874,67394,67885,68335,68131
2016,67904,68305,68451,68346,68496,67769,67702,67776,68709,68997,69203,68984
2017,68423,69157,69559,69474,69340,68855,68860,68835,69820,69872,70163,69775
2018,69378,70029,70178,70266,70341,70045,69975,69880,70858,71270,71438,71422
2019,70731,71396,71259,71327,71072,70714,70415,70983,72204,72584,72426,72534
2020,71785,72413,70908,60124,61630,63925,64384,65997,66547,68109,68407,68248
2021,67538,68163,68730,0,0,0,0,0,0,0,0,0
