Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1948,1511,1694,1614,1482,1245,1108,1195,1177,1146,981,1163,1344
1949,1923,2292,2267,2081,2154,2163,2547,2293,2115,2419,2108,2270
1950,2882,3041,2802,2429,1930,1779,1826,1443,1328,1074,1186,1343
1951,1522,1450,1216,995,859,919,954,878,862,856,928,914
1952,1230,1312,1152,1022,862,930,1062,1008,894,702,752,835
1953,1334,1188,1034,1070,894,822,886,768,814,788,1099,1529
1954,2068,2386,2444,2329,2099,1978,2015,1924,1885,1720,1739,1831
1955,2245,2248,2123,2013,1485,1381,1332,1236,1095,1118,1253,1433
1956,1788,1863,1824,1504,1428,1384,1340,1199,1122,1028,1281,1543
1957,1809,1810,1618,1521,1353,1402,1327,1258,1307,1337,1690,2062
1958,2759,3198,3318,3073,2804,2752,2779,2601,2190,2072,2132,2497
1959,2850,2926,2577,1933,1689,1659,1691,1650,1662,1630,2021,1970
1960,2417,2306,2454,2025,1740,1787,1863,1890,1703,1806,2085,2638
1961,3211,3363,3190,2773,2522,2330,2383,2275,1973,1880,2008,2309
1962,2591,2548,2458,2115,1807,1847,1803,1886,1621,1536,1826,2151
1963,2663,2787,2499,2066,1770,1745,1723,1683,1454,1466,1769,2023
1964,2406,2348,2148,1786,1467,1609,1510,1501,1378,1394,1395,1676
1965,2033,2108,1835,1586,1320,1317,1271,1279,1094,1023,1108,1249
1966,1529,1512,1403,1103,941,1049,1035,1035,871,839,971,1149
1967,1312,1310,1262,1069,955,1062,989,986,839,893,968,1069
1968,1319,1391,1219,969,843,997,921,913,816,810,844,873
1969,1142,1134,1048,901,810,905,945,886,914,906,909,1052
1970,1456,1678,1606,1498,1404,1585,1669,1625,1566,1641,1821,2115
1971,2553,2590,2379,2079,1914,2004,1994,2001,1842,1769,1939,2100
1972,2502,2478,2350,2071,1858,1921,1868,1759,1625,1667,1599,1684
1973,2026,2093,1957,1725,1558,1579,1484,1457,1343,1281,1396,1582
1974,2094,2226,2003,1855,1624,1744,1733,1805,1728,1863,2146,2665
1975,3719,3950,4009,3731,3518,3501,3418,3184,3141,3060,3184,3297
1976,3750,3723,3473,3057,2761,3035,2981,2818,2696,2710,2978,3196
